Fecha / hora,Cliente,Nº  venta,Importe,Forma de pago,Revisada,Crédito,Estatus venta,V. no facturable
01/09/2023 05:21 PM,PUBLICO EN GENERAL,355432,200.00,Efectivo,0,0,Venta generada,
01/09/2023 05:24 PM,PUBLICO EN GENERAL,355434,100.00,Efectivo,0,0,Venta generada,
01/09/2023 05:27 PM,PUBLICO EN GENERAL,355439,200.00,Efectivo,0,0,Venta generada,
01/09/2023 05:28 PM,PUBLICO EN GENERAL,355437,70.00,Efectivo,0,0,Venta generada,
01/09/2023 05:32 PM,PUBLICO EN GENERAL,355436,400.00,Efectivo,0,0,Venta generada,
01/09/2023 05:38 PM,PUBLICO EN GENERAL,355442,400.00,Efectivo,0,0,Venta generada,
01/09/2023 05:40 PM,PUBLICO EN GENERAL,355441,150.00,Efectivo,0,0,Venta generada,
01/09/2023 05:41 PM,PUBLICO EN GENERAL,355444,300.00,Efectivo,0,0,Venta generada,
01/09/2023 05:41 PM,PUBLICO EN GENERAL,355447,254.55,Efectivo,0,0,Venta generada,
01/09/2023 05:42 PM,PUBLICO EN GENERAL,355440,500.00,Efectivo,0,0,Vta. enviada a web,
01/09/2023 05:44 PM,PUBLICO EN GENERAL,355443,200.00,Tarjeta de Debito,0,0,Vta. enviada a web,
01/09/2023 05:48 PM,PUBLICO EN GENERAL,355445,50.00,Efectivo,0,0,Venta generada,
01/09/2023 05:51 PM,PUBLICO EN GENERAL,355449,500.00,Efectivo,0,0,Venta generada,
01/09/2023 05:55 PM,PUBLICO EN GENERAL,355446,400.00,Tarjeta de Debito,0,0,Vta. enviada a web,
01/09/2023 05:56 PM,PUBLICO EN GENERAL,355451,100.00,Efectivo,0,0,Venta generada,
